regulator,title,section_type,obligation_summary,key_obligation,risk_level,compliance_type,deadline_frequency,penalty_impact
SEBI,Minimum information for Audit Committee on Related Party Transactions,Circular,"Provide detailed information to Audit Committee/shareholders before approving related party transactions, including relationship, value, tenure and justification.",Pre-approval information for RPTs,High,Disclosure & Governance,Before each RPT approval,Potential violation of LODR; enforcement under SEBI Act.
SEBI,Cybersecurity and Cyber Resilience for SEBI Regulated Entities,Circular,"Implement cyber audit, continuous monitoring, incident reporting and annual Board review for cybersecurity framework.",Cyber audit and incident reporting,High,Operational Risk & Technology,Annual audit; immediate incident reporting,Regulatory action for non-compliance with framework.
SEBI,Measures for risk management in equity derivatives,Circular,"Monitor client and member positions, manage concentration, enhance margining and stress testing for index derivatives.",Enhanced margining and monitoring,Medium,Market Risk,Ongoing daily monitoring,Risk of enforcement for inadequate risk controls.
SEBI,Special window for physical share transfer deeds,Circular,Open special window to process delayed physical transfer deeds subject to KYC and verification.,Process transfer deeds within special window,Low,Investor Service,During notified window period,Investor complaints; possible supervisory action.
IFSCA,IFSCA (Fund Management) Regulations – FME registration,Regulation,"Fund Management Entities in IFSC must meet net worth, eligibility, governance and reporting requirements to be registered.",Register FME and maintain eligibility,High,Licensing & Prudential,Onboarding and ongoing,Suspension or cancellation of FME registration.
IFSCA,Circular on certification course for FME KMPs,Circular,Key managerial personnel of FMEs must complete specified certification courses within defined timelines.,Certification of KMPs,Medium,Conduct & Governance,Within regulatory timeline; periodic refresh,Non-compliant KMP; restrictions on operations.
IFSCA,Stewardship Code framework in IFSC,Circular,"FMEs must adopt stewardship responsibilities, including voting, engagement and conflict management for investee entities.",Implement stewardship code,Medium,ESG & Governance,Ongoing; annual reporting,Regulatory censure or conditions on registration.
RBI,KYC Master Directions – risk-based KYC updates,Master Direction,"Banks and NBFCs must categorise customers by risk, perform periodic KYC review and upload standardised KYC data.",Risk-based KYC and periodic review,High,AML/CFT & Customer Due Diligence,High risk: frequent; low risk: longer cycles,"AML/CFT breaches; monetary penalty, supervisory action."
RBI,Digital lending – explicit consent for data sharing,Guideline,Digital lenders must obtain explicit customer consent for data sharing with credit bureaus and third parties.,Explicit customer consent for data use,High,Consumer Protection & Data Privacy,At onboarding and before each new use,License restrictions or cancellation in severe cases.
RBI,KYC provisions – removal of OTP-based lending cap,Master Direction,"Institution-specific KYC directions remove prior universal cap on OTP-based e-KYC loans, replacing with risk-based safeguards.",Align lending policies with new KYC directions,Medium,Credit Risk & KYC,Policy update within regulatory timeline,Supervisory findings and corrective action.
